time_s	ee_error_m	orientation_error	base_x_m	base_y_m	base_z_m	roll_deg	pitch_deg	clearance_m	leg_action_delta_l2	arm_action_delta_l2	update_ms
0.01	0.649062496	0.0199899784	3.2094638e-05	-8.10527013e-06	0.542694104	0.00475344817	-0.0395209436	0.306031889	0	0	20.415274
0.02	0.647300764	0.0200925085	5.26790753e-05	-3.65338016e-05	0.54115748	0.0117517387	-0.124586344	0.30598324	0.0488151295	0.0443112095	15.790985
0.03	0.64454333	0.0203307195	-1.35290823e-06	-4.25406279e-05	0.539144924	-0.0106741878	-0.233457595	0.306511734	0.0951398389	0.0442923444	15.657401
0.04	0.640793618	0.020800921	-0.000134245612	6.24031934e-06	0.53681204	-0.0819795163	-0.385179192	0.307682816	0.0733287024	0.0442528608	17.885678
0.05	0.636092846	0.0215335747	-0.00043342495	0.00011581288	0.534411982	-0.176428008	-0.537691312	0.309611223	0.0791582131	0.0441944641	16.722865
0.06	0.63050218	0.0224814837	-0.000960930495	0.000264813954	0.53199109	-0.276741274	-0.656724596	0.312456582	0.0712333836	0.0441244457	15.991634
0.07	0.624094109	0.0236247358	-0.00172696832	0.000445581388	0.529733286	-0.375395754	-0.724548346	0.316083216	0.0597454457	0.0440491102	15.14105
0.08	0.616927688	0.0249572648	-0.00271433664	0.000669324648	0.527839845	-0.479151163	-0.722891389	0.320280712	0.0736857833	0.0439791198	17.732761
0.09	0.609238482	0.0264357655	-0.00381685542	0.000926662319	0.525661844	-0.587595416	-0.849844116	0.324172059	0.0734781142	0.0439236328	16.331549
0.1	0.60101643	0.0280384031	-0.00516308713	0.00120730195	0.524196583	-0.671644743	-0.834832301	0.328098584	0.0429920179	0.0439098504	14.476242
0.11	0.592314557	0.0298166601	-0.00663006557	0.00151679926	0.523252727	-0.749116494	-0.781991915	0.331840135	0.0655129533	0.0439133114	16.45515
0.12	0.583022762	0.0314782375	-0.0081461202	0.00183076098	0.522239638	-0.798622778	-0.556759159	0.336172105	0.049992292	0.043949689	16.291787
0.13	0.57313784	0.0334307871	-0.00967344771	0.00215128933	0.521697241	-0.826819198	-0.387785456	0.339445822	0.0579523863	0.0439154266	14.751581
0.14	0.562729296	0.0356454986	-0.0111807829	0.00247085129	0.521482905	-0.82856197	-0.24492345	0.341802498	0.0405852987	0.0439472201	16.053469
0.15	0.55187601	0.0380626916	-0.0126677354	0.0028130491	0.521489966	-0.824503068	-0.103556076	0.343765923	0.0468045715	0.0440150835	16.40163
0.16	0.540648656	0.0406149564	-0.0140894901	0.00314915694	0.521582315	-0.792322447	0.0394556024	0.3454265	0.0592160801	0.0440955586	15.105918
0.17	0.529110604	0.043300113	-0.0154199825	0.003467632	0.521773599	-0.726046683	0.173017604	0.346759849	0.0434345702	0.0441690116	16.445403
0.18	0.517326264	0.0461235512	-0.0166952005	0.00375131142	0.522132946	-0.636982684	0.29959566	0.347408079	0.0525516695	0.0442417301	15.334161
0.19	0.505384239	0.0490668969	-0.0179065814	0.00400089408	0.522642756	-0.538756072	0.404446222	0.347674293	0.0474078271	0.0443248075	14.54253
0.2	0.493444889	0.051995603	-0.0190185043	0.00430897256	0.52291319	-0.547429781	0.424704001	0.347810879	0.0571103671	0.0444265694	17.352012
0.21	0.481532738	0.0549693766	-0.0201034189	0.00457345813	0.523505666	-0.527015002	0.468457395	0.347861164	0.0580240202	0.0445452087	15.866834
0.22	0.469695993	0.0579538735	-0.0211653935	0.00477803265	0.524396514	-0.477640587	0.533093557	0.347927359	0.0600868206	0.0446672392	16.767714
0.23	0.457959846	0.0605465818	-0.0221375124	0.00489708053	0.524733988	-0.337550596	0.657198203	0.348267889	0.0705618969	0.0447946012	16.729833
0.24	0.446226608	0.0631979255	-0.0231104479	0.00500099089	0.525585117	-0.292788374	0.757842502	0.348155347	0.0642785532	0.0447742687	16.168158
0.25	0.434574672	0.0658550707	-0.0240118986	0.00510600035	0.526704499	-0.306158396	0.806019096	0.347965326	0.0600739367	0.0448593606	14.574853
0.26	0.423090328	0.0684368119	-0.0248353343	0.00519390887	0.527972305	-0.344020419	0.811678682	0.347786915	0.0441326525	0.0450150943	13.618669
0.27	0.411850282	0.0708392331	-0.0255988542	0.005246109	0.52922065	-0.392317736	0.780753162	0.347454092	0.0652711556	0.0452022102	15.728357
0.28	0.400858366	0.0730654411	-0.0263172532	0.00526063033	0.53054157	-0.44412794	0.749958118	0.346719961	0.061207056	0.0453879889	15.325418
0.29	0.390104497	0.0751130502	-0.0269743783	0.00524089977	0.531902204	-0.478303472	0.720680906	0.34609339	0.0384073034	0.0455497138	16.814301
0.3	0.379605138	0.0769628739	-0.0275036448	0.00520207151	0.533147991	-0.51058881	0.649283666	0.345497688	0.0623956411	0.0456834483	17.359361
0.31	0.369337942	0.0786426973	-0.0279364278	0.0051360069	0.534358264	-0.53150999	0.560482586	0.344958955	0.0487078735	0.0458021839	14.833979
0.32	0.359250951	0.0801914528	-0.028306474	0.00503738545	0.53562427	-0.543405222	0.479542617	0.344509662	0.0376914636	0.0458992693	14.514425
0.33	0.349319144	0.0815801789	-0.0286139614	0.00490474345	0.536815765	-0.541246828	0.390380766	0.344155861	0.0662520432	0.0459739313	16.414307
0.34	0.339518831	0.0828045446	-0.0288965892	0.00469102523	0.537896263	-0.469411099	0.281524677	0.34388284	0.0782400839	0.0460295511	14.940323
0.35	0.329784876	0.0838943948	-0.0291953419	0.00438009607	0.538911261	-0.376636197	0.168824502	0.343701894	0.0533193227	0.046088612	16.433691
0.36	0.320029131	0.084732919	-0.0293871096	0.00409780075	0.539320795	-0.341766171	0.0944407857	0.343801129	0.0737573128	0.0461472871	15.90851
0.37	0.310155349	0.0854522069	-0.0295967012	0.00376398285	0.539580754	-0.287426805	-0.0113816679	0.343911008	0.0796224576	0.0460197871	13.48971
0.38	0.300060272	0.0860899619	-0.0298604442	0.00340900566	0.539644955	-0.254121047	-0.106945611	0.344109428	0.064913243	0.0459559538	14.960457
0.39	0.289643927	0.0866817496	-0.0301594544	0.00304127434	0.539438215	-0.251479093	-0.193227665	0.344369695	0.13457109	0.0458885606	13.863144
0.4	0.278805357	0.0872855763	-0.0304884803	0.00265834662	0.538978916	-0.267087632	-0.276143029	0.343495209	0.099789979	0.045798138	14.346223
0.41	0.267432141	0.0879544011	-0.0308787748	0.00226478314	0.538288731	-0.3055641	-0.336735333	0.341908704	0.0785921398	0.0456997189	17.491175
0.42	0.255405829	0.0887576087	-0.0313427134	0.0018728883	0.537454613	-0.370774789	-0.367602366	0.339845481	0.0382881032	0.0455868414	15.750959
0.43	0.24264633	0.0897402796	-0.031882037	0.00147296836	0.536520169	-0.443292181	-0.38824027	0.33751117	0.0853517517	0.0454737798	16.388616
